algorithm,path_length,nodes_explored,compute_time,replan_count,predictive_replans,evade_count,found_treasure,wall_density,num_guards,repetition
DFS,125,149,0.00035089999437332153,0,0,0,True,0.15,0,0
DFS,101,219,0.0005144001916050911,0,0,0,True,0.15,0,1
DFS,111,112,0.000250800047069788,0,0,0,True,0.15,0,2
DFS,101,136,0.0002981999423354864,0,0,0,True,0.15,0,3
DFS,69,116,0.00025400007143616676,0,0,0,True,0.15,0,4
DFS,73,76,0.0001697000116109848,0,0,0,True,0.15,0,5
DFS,87,92,0.0002101999707520008,0,0,0,True,0.15,0,6
DFS,99,110,0.00025029992684721947,0,0,0,True,0.15,0,7
DFS,95,150,0.0003263000398874283,0,0,0,True,0.15,0,8
DFS,105,106,0.0002437999937683344,0,0,0,True,0.15,0,9
DFS,91,93,0.00021039997227489948,0,0,0,True,0.15,0,10
DFS,99,124,0.00044219987466931343,0,0,0,True,0.15,0,11
DFS,91,118,0.00025860010646283627,0,0,0,True,0.15,0,12
DFS,65,84,0.00018480001017451286,0,0,0,True,0.15,0,13
DFS,79,83,0.00018339999951422215,0,0,0,True,0.15,0,14
DFS,117,159,0.0003560998011380434,0,0,0,True,0.15,0,15
DFS,61,65,0.000157299917191267,0,0,0,True,0.15,0,16
DFS,79,80,0.00018349988386034966,0,0,0,True,0.15,0,17
DFS,101,102,0.0002623999025672674,0,0,0,True,0.15,0,18
DFS,95,107,0.00024429988116025925,0,0,0,True,0.15,0,19
DFS,95,101,0.0002234999556094408,0,0,0,True,0.15,0,20
DFS,87,227,0.0005733000580221415,0,0,0,True,0.15,0,21
DFS,111,112,0.00026030000299215317,0,0,0,True,0.15,0,22
DFS,113,122,0.00027860002592206,0,0,0,True,0.15,0,23
DFS,79,84,0.0001893998123705387,0,0,0,True,0.15,0,24
DFS,93,98,0.0002275998704135418,0,0,0,True,0.15,0,25
DFS,79,81,0.00018339999951422215,0,0,0,True,0.15,0,26
DFS,113,120,0.0002717000897973776,0,0,0,True,0.15,0,27
DFS,95,100,0.00022600009106099606,0,0,0,True,0.15,0,28
DFS,93,161,0.0003787998575717211,0,0,0,True,0.15,0,29
DFS,85,551,0.0020667999051511288,3,3,7,True,0.15,2,0
DFS,153,1373,0.0033462003339082003,8,8,0,True,0.15,2,1
DFS,183,911,0.0029305999632924795,9,9,0,True,0.15,2,2
DFS,81,991,0.002488299971446395,8,8,9,True,0.15,2,3
DFS,85,435,0.0010991997551172972,4,4,0,True,0.15,2,4
DFS,151,897,0.0021834997460246086,5,5,6,True,0.15,2,5
DFS,89,224,0.0005451999604701996,2,2,0,True,0.15,2,6
DFS,233,1537,0.0037106999661773443,11,11,2,True,0.15,2,7
DFS,376,7690,0.019317500293254852,35,35,17,True,0.15,2,8
DFS,119,2427,0.007539000129327178,12,12,1,True,0.15,2,9
DFS,212,3861,0.009773600148037076,28,28,2,True,0.15,2,10
DFS,96,438,0.0010122000239789486,2,2,4,True,0.15,2,11
DFS,77,343,0.0008942000567913055,2,2,0,True,0.15,2,12
DFS,160,2769,0.006695800460875034,22,22,10,True,0.15,2,13
DFS,99,281,0.0010917000472545624,3,3,0,True,0.15,2,14
DFS,81,223,0.0008680999744683504,0,0,0,True,0.15,2,15
DFS,293,4824,0.013604698702692986,34,34,14,True,0.15,2,16
DFS,123,2008,0.006686300039291382,12,12,0,True,0.15,2,17
DFS,66,1318,0.006107899826020002,6,6,7,True,0.15,2,18
DFS,181,907,0.002706700237467885,9,9,10,True,0.15,2,19
DFS,134,949,0.002309800125658512,7,7,3,True,0.15,2,20
DFS,117,1036,0.002499999711290002,8,8,2,True,0.15,2,21
DFS,440,6517,0.016003100899979472,42,42,22,True,0.15,2,22
DFS,94,363,0.0009477999992668629,3,3,1,True,0.15,2,23
DFS,151,3412,0.008532100589945912,22,22,9,True,0.15,2,24
DFS,95,158,0.0005892999470233917,1,1,0,True,0.15,2,25
DFS,211,5509,0.01621679961681366,30,30,4,True,0.15,2,26
DFS,114,1361,0.00395030016079545,11,11,5,True,0.15,2,27
DFS,123,524,0.0015920002479106188,5,5,0,True,0.15,2,28
DFS,93,1483,0.003839499782770872,14,14,5,True,0.15,2,29
DFS,109,322,0.001104999566450715,4,4,3,True,0.15,4,0
DFS,121,1096,0.002665200037881732,8,8,1,True,0.15,4,1
DFS,326,8598,0.025241498835384846,44,44,26,True,0.15,4,2
DFS,275,2776,0.00961549929343164,26,26,8,True,0.15,4,3
DFS,131,1385,0.0033920002169907093,9,9,6,True,0.15,4,4
DFS,236,3673,0.011401900090277195,33,33,36,True,0.15,4,5
DFS,121,3402,0.010279999114573002,24,24,12,True,0.15,4,6
DFS,72,613,0.0017771997954696417,6,6,8,True,0.15,4,7
DFS,329,8771,0.02576929982751608,48,48,48,True,0.15,4,8
DFS,215,3045,0.008813299937173724,27,27,13,True,0.15,4,9
DFS,151,4600,0.014165399363264441,30,30,10,True,0.15,4,10
DFS,135,1444,0.0037106992676854134,15,15,28,True,0.15,4,11
DFS,137,782,0.0020073000341653824,5,5,3,True,0.15,4,12
DFS,159,4956,0.01238180068321526,27,27,6,True,0.15,4,13
DFS,75,2686,0.006402700208127499,16,16,0,True,0.15,4,14
DFS,180,2490,0.00715820025652647,23,23,10,True,0.15,4,15
DFS,115,859,0.0022900993935763836,7,7,2,True,0.15,4,16
DFS,133,2791,0.00688099954277277,16,16,2,True,0.15,4,17
DFS,185,5630,0.022758401464670897,36,36,12,True,0.15,4,18
DFS,74,1249,0.0045286002568900585,13,13,12,True,0.15,4,19
DFS,135,4274,0.012516099959611893,20,20,4,True,0.15,4,20
DFS,93,823,0.003262000158429146,8,8,0,True,0.15,4,21
DFS,109,2077,0.0073052996303886175,19,19,5,True,0.15,4,22
DFS,88,818,0.0019929001573473215,6,6,1,True,0.15,4,23
DFS,78,1419,0.003363599767908454,14,14,3,True,0.15,4,24
DFS,125,1338,0.0031596000771969557,10,10,7,True,0.15,4,25
DFS,63,1291,0.0030516996048390865,10,10,6,True,0.15,4,26
DFS,117,1935,0.007388299563899636,12,12,11,True,0.15,4,27
DFS,309,5491,0.013498099520802498,39,39,10,True,0.15,4,28
DFS,70,1994,0.004768100334331393,14,14,8,True,0.15,4,29
DFS,85,3595,0.008497200440615416,15,15,12,True,0.15,6,0
DFS,375,14312,0.036057099467143416,86,86,34,True,0.15,6,1
DFS,226,6567,0.0158049997407943,28,28,12,True,0.15,6,2
DFS,301,11033,0.029462299309670925,79,79,69,True,0.15,6,3
DFS,73,3656,0.011868199799209833,20,20,5,True,0.15,6,4
DFS,118,2266,0.007652599597349763,17,17,6,True,0.15,6,5
DFS,395,13792,0.041170601500198245,95,95,75,True,0.15,6,6
DFS,413,16850,0.055683299200609326,87,87,45,False,0.15,6,7
DFS,139,1303,0.0034130006097257137,10,10,2,True,0.15,6,8
DFS,231,5410,0.016213399823755026,36,36,23,True,0.15,6,9
DFS,355,20985,0.05034020100720227,103,103,47,True,0.15,6,10
DFS,400,18888,0.0590649014338851,100,100,63,False,0.15,6,11
DFS,286,9608,0.02529750019311905,50,50,32,True,0.15,6,12
DFS,175,6493,0.01795230060815811,37,37,8,True,0.15,6,13
DFS,172,7173,0.026638999581336975,45,45,44,True,0.15,6,14
DFS,88,1143,0.0027210998814553022,8,8,3,True,0.15,6,15
DFS,187,8413,0.02361270086839795,55,55,33,True,0.15,6,16
DFS,191,4946,0.01221960037946701,24,24,12,True,0.15,6,17
DFS,253,18817,0.05305340024642646,70,70,36,True,0.15,6,18
DFS,123,4287,0.01022280054166913,34,34,4,True,0.15,6,19
DFS,143,6000,0.01455850014463067,39,39,6,True,0.15,6,20
DFS,215,6400,0.020559799391776323,45,45,39,True,0.15,6,21
DFS,229,5040,0.017587999813258648,43,43,22,True,0.15,6,22
DFS,160,4070,0.01005950034596026,32,32,23,True,0.15,6,23
DFS,105,3642,0.010040500434115529,14,14,0,True,0.15,6,24
DFS,113,574,0.0013563998509198427,2,2,0,True,0.15,6,25
DFS,138,7934,0.024205197812989354,37,37,29,True,0.15,6,26
DFS,76,370,0.0012421996798366308,4,4,1,True,0.15,6,27
DFS,405,22872,0.06899880059063435,95,95,61,False,0.15,6,28
DFS,277,7460,0.021490000654011965,46,46,26,True,0.15,6,29
DFS,85,104,0.00022980011999607086,0,0,0,True,0.25,0,0
DFS,55,72,0.0001596000511199236,0,0,0,True,0.25,0,1
DFS,49,144,0.00030499999411404133,0,0,0,True,0.25,0,2
DFS,79,137,0.0005238999146968126,0,0,0,True,0.25,0,3
DFS,73,83,0.0002935000229626894,0,0,0,True,0.25,0,4
DFS,47,193,0.0006343000568449497,0,0,0,True,0.25,0,5
DFS,71,95,0.0003575999289751053,0,0,0,True,0.25,0,6
DFS,107,120,0.0004197999369353056,0,0,0,True,0.25,0,7
DFS,77,95,0.00033410009928047657,0,0,0,True,0.25,0,8
DFS,63,67,0.00024610012769699097,0,0,0,True,0.25,0,9
DFS,71,214,0.0007660000119358301,0,0,0,True,0.25,0,10
DFS,53,93,0.00033599999733269215,0,0,0,True,0.25,0,11
DFS,71,99,0.0003668998833745718,0,0,0,True,0.25,0,12
DFS,69,72,0.00016540009528398514,0,0,0,True,0.25,0,13
